,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_in_house,bedrooms_in_rooms,bedrooms_in_house,population_per_household
0,-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,2,6.984126984126984,0.14659090909090908,1.0238095238095237,2.5555555555555554
1,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,2,6.238137082601054,0.15579659106916466,0.9718804920913884,2.109841827768014
2,-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,2,8.288135593220339,0.12951601908657123,1.073446327683616,2.8022598870056497
3,-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,2,5.8173515981735155,0.18445839874411302,1.0730593607305936,2.547945205479452
4,-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,2,6.281853281853282,0.1720958819913952,1.0810810810810811,2.1814671814671813
5,-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,2,4.761658031088083,0.23177366702937977,1.1036269430051813,2.139896373056995
6,-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,2,4.9319066147859925,0.19289940828402366,0.9513618677042801,2.1284046692607004
7,-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,2,4.797527047913447,0.22132731958762886,1.061823802163833,1.7882534775888717
8,-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,2,4.294117647058823,0.2602739726027397,1.1176470588235294,2.026890756302521
9,-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,2,4.970588235294118,0.1992110453648915,0.9901960784313726,2.172268907563025
10,-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,2,5.477611940298507,0.19709355131698456,1.0796019900497513,2.263681592039801
11,-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,2,4.772479564032698,0.2146731373108764,1.0245231607629428,2.0490463215258856
12,-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,2,5.322649572649572,0.1902850260939382,1.0128205128205128,2.3461538461538463
13,-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,2,4.0,0.2744252873563218,1.0977011494252873,1.9827586206896552
14,-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,2,4.262903225806451,0.23685206205069997,1.0096774193548388,1.9548387096774194
15,-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,2,4.242424242424242,0.2526785714285714,1.071969696969697,2.640151515151515
16,-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,2,5.9395770392749245,0.17650050864699898,1.0483383685800605,2.395770392749245
